manufacturer_id,manufacturer_name
304,Synmedic Laboratories
305,Iceberg Healthcare Pvt Ltd
306,Ethinext Pharma
307,Rubra Pharmaceuticals Ltd
308,BMW Pharmaco India Pvt. Ltd.
309,Icon Pharma & Surgicals Pvt Ltd
310,Apple Lifescience
311,AAR ESS Remedies Pvt Ltd
312,Acron Pharmaceuticals
313,Medoz Pharmaceutical Pvt. Ltd
314,Celon Laboratories Ltd
315,Pride Pharma
316,Optho Pharma Pvt Ltd
317,Denizen Pharmaceuticals India (P) Ltd
318,Klar Sehen Pvt Ltd
319,Doqchem
320,Dycine Pharmaceuticals Ltd
321,Solvate Laboratries Pvt Ltd
322,PCI Pharmaceuticals
323,Marsha Pharma Pvt Ltd
324,East West Pharma
325,Signit Laboratories Pvt Ltd
326,Chemo Healthcare Pvt Ltd
327,Uniphar Biotech Private Limited
328,Lesanto Laboratories
329,Candrin Pharma Pvt Ltd
330,Sanshis Pharmaceuticals
331,Resilient Cosmecueticals Pvt Ltd
332,Vega Laboratories Pvt Ltd
333,MMC Healthcare Ltd
334,Biomax Laboratories
335,Sain Medicaments Pvt Ltd
336,Crescent Therapeutics Ltd
337,Therapeutic Pharmaceuticals
338,Affy Pharma Pvt Ltd
339,Regenix Drugs Ltd
340,Kepler Health Care
341,Strides shasun Ltd
342,Medikem Pharmaceuticals
343,IGP Medventures Pvt Ltd
344,Olcare Laboratories
345,Mancare Labs Pvt Ltd
346,Astraea Life Sciences Pvt Ltd
347,Alvio Pharma
348,Siesta Pharmaceuticals
349,Meridian Medicare Ltd
350,Assam Chemical & Pharmaceutical Pvt Ltd
351,Algen Healthcare Limited
352,Ben Pharmaceuticals
353,Lemford Biotech Pvt Ltd
354,Vyonics Health Care Pvt Ltd
355,Total Healthcare
356,Vrevive Medicure Pvt. Ltd.
357,Three Dots Lifescience
358,Avancer Labs Pvt Ltd
359,Viilbery Healthcare Pvt Ltd
360,D D Pharmaceuticals
361,Superstar Laboratories Pvt Ltd
362,Senechio Pharma Pvt Ltd
363,Nest Pharma
364,Healing Pharma India Pvt Ltd
365,Galacus Healthcare Pvt Ltd
366,Druto Laboratories
367,Gold Line
368,Adley Formulations
369,Skinska Pharmaceutica Pvt Ltd
370,Assiduous Life Sciences Pvt Ltd
371,Bioworld Pharma
372,Kim Lab
373,Ikon Remedies Pvt Ltd
374,Admac Pharma Ltd
375,Intra Labs India Pvt Ltd
376,Signova Pharma Pvt Ltd
377,Pharma Planet India
378,Axon Drugs Pvt Ltd
379,Mascot Health Series Pvt Ltd
380,Symbiosis Lab
381,Mission Research Laboratories Pvt Ltd
382,Woakes Pharma
383,SG Lifecare Pvt Ltd
384,Akesiss Pharma Pvt Ltd
385,La Pharmaceuticals
386,Adventus Laboratories India Pvt Ltd
387,Albinis Biotech Pvt Ltd
388,Haeal Pharma
389,Synovia Life Sciences Pvt Ltd
390,Parenteral Drugs India Ltd
391,Green Cross Remedies
392,Vivid Biotek Pvt Ltd
393,Senses Pharmaceuticals Ltd
394,Innovative Pharmaceuticals
395,Sol Derma Pharmaceuiticals Pvt Ltd
396,Atishya Biotech
397,WellOK Pharma
398,Fawn Incorporation
399,Allied Chemicals & Pharmaceuticals Pvt Ltd
400,Solarium Pharmaceuticals
401,Biomax Biotechnics Pvt Ltd
402,Kremoint Pharma Pvt Ltd
403,Uni-Pex Pharmaceuticals Pvt Ltd
404,Kivonyx Healthcare
405,Medic Forge Healthcare Private Limited
406,Medicross Pharmaceuticals
407,Daxia Healthcare
408,Azilliane Healthcare
409,Hospimax Healthcare Pvt Ltd
410,Sun Life Sciences Pvt Ltd
411,Embiotic Laboratories Pvt Ltd
412,Eumedica Pharmaceuticals
413,Zenlabs Ethica Ltd
414,Juggat Pharma
415,Knoll Healthcare Pvt Ltd
416,Aurz Pharmaceuticals Pvt Ltd
417,Aishwarya Healthcare
418,Alcure Pharmaceutical Laboratories India Pvt Ltd
419,Renova Pharmaceuticals
420,Alika Healthcare Pvt Ltd
421,Bharti Life Sciences
422,Bio Vitamins
423,Energize Pharmaceuticals (P) Ltd.
424,Psychocare Health Pvt Ltd
425,Adips Laboratories Ltd
426,Arbro Pharmaceuticals Pvt Ltd
427,Invomed Cotab Pvt Ltd
428,BestoChem Formulations India Ltd
429,Parnasa Mediworld Pvt Ltd
430,Zunison Healthcare
431,Legend Advanced Biomedicinals
432,Mediyork Pharma Pvt Ltd
433,Nectar Biopharma Pvt Limited
434,Aan Pharma Pvt Ltd
435,Medi Biotech Pvt Ltd
